Name of the initiative,Instrument Type,Jurisdiction Covered,Price_label_1_1990,Price_rate_1_1990,Price_label_2_1990,Price_rate_2_1990,Price_label_1_1991,Price_rate_1_1991,Price_label_2_1991,Price_rate_2_1991,Price_label_1_1992,Price_rate_1_1992,Price_label_2_1992,Price_rate_2_1992,Price_label_1_1993,Price_rate_1_1993,Price_label_2_1993,Price_rate_2_1993,Price_label_1_1994,Price_rate_1_1994,Price_label_2_1994,Price_rate_2_1994,Price_label_1_1995,Price_rate_1_1995,Price_label_2_1995,Price_rate_2_1995,Price_label_1_1996,Price_rate_1_1996,Price_label_2_1996,Price_rate_2_1996,Price_label_1_1997,Price_rate_1_1997,Price_label_2_1997,Price_rate_2_1997,Price_label_1_1998,Price_rate_1_1998,Price_label_2_1998,Price_rate_2_1998,Price_label_1_1999,Price_rate_1_1999,Price_label_2_1999,Price_rate_2_1999,Price_label_1_2000,Price_rate_1_2000,Price_label_2_2000,Price_rate_2_2000,Price_label_1_2001,Price_rate_1_2001,Price_label_2_2001,Price_rate_2_2001,Price_label_1_2002,Price_rate_1_2002,Price_label_2_2002,Price_rate_2_2002,Price_label_1_2003,Price_rate_1_2003,Price_label_2_2003,Price_rate_2_2003,Price_label_1_2004,Price_rate_1_2004,Price_label_2_2004,Price_rate_2_2004,Price_label_1_2005,Price_rate_1_2005,Price_label_2_2005,Price_rate_2_2005,Price_label_1_2006,Price_rate_1_2006,Price_label_2_2006,Price_rate_2_2006,Price_label_1_2007,Price_rate_1_2007,Price_label_2_2007,Price_rate_2_2007,Price_label_1_2008,Price_rate_1_2008,Price_label_2_2008,Price_rate_2_2008,Price_label_1_2009,Price_rate_1_2009,Price_label_2_2009,Price_rate_2_2009,Price_label_1_2010,Price_rate_1_2010,Price_label_2_2010,Price_rate_2_2010,Price_label_1_2011,Price_rate_1_2011,Price_label_2_2011,Price_rate_2_2011,Price_label_1_2012,Price_rate_1_2012,Price_label_2_2012,Price_rate_2_2012,Price_label_1_2013,Price_rate_1_2013,Price_label_2_2013,Price_rate_2_2013,Price_label_1_2014,Price_rate_1_2014,Price_label_2_2014,Price_rate_2_2014,Price_label_1_2015,Price_rate_1_2015,Price_label_2_2015,Price_rate_2_2015,Price_label_1_2016,Price_rate_1_2016,Price_label_2_2016,Price_rate_2_2016,Price_label_1_2017,Price_rate_1_2017,Price_label_2_2017,Price_rate_2_2017,Price_label_1_2018,Price_rate_1_2018,Price_label_2_2018,Price_rate_2_2018,Price_label_1_2019,Price_rate_1_2019,Price_label_2_2019,Price_rate_2_2019,Price_label_1_2020,Price_rate_1_2020,Price_label_2_2020,Price_rate_2_2020,Price_label_1_2021,Price_rate_1_2021,Price_label_2_2021,Price_rate_2_2021,Price_label_1_2022,Price_rate_1_2022,Price_label_2_2022,Price_rate_2_2022,Price_label_1_2023,Price_rate_1_2023,Price_label_2_2023,Price_rate_2_2023,Price_label_1_Instrument_Type,Price_rate_1_Instrument_Type,Price_label_2_Instrument_Type,Price_rate_2_Instrument_Type
Albania ETS,ETS,Albania,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Argentina carbon tax,Carbon tax,Argentina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Most liquid fuels,6.24,"Fuel oil, mineral coal and petroleum coke",1,Most liquid fuels,5.943965989,"Fuel oil, mineral coal and petroleum coke",1.188793198,Most liquid fuels,5.543044324,"Fuel oil, mineral coal and petroleum coke",0.012169037,Most liquid fuels,4.994150994,"Fuel oil, mineral coal and petroleum coke",0.002699541,Gasoline,3.339010944,Petroleum coke,3.269056381,,,,
Australia (Safeguard Mechanism),ETS,Australia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.19645997,N/A,N/A,N/A,11.955655,N/A,N/A,N/A,11.851045,N/A,N/A,N/A,10.63852,N/A,N/A,,,,
Australia CPM,ETS,Australia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.8993,N/A,N/A,N/A,24.657606,N/A,N/A,N/A,22.370145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Austria ETS,ETS,Austria,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.34375,N/A,N/A,,,,
BC GGIRCA,ETS,British Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.896538,N/A,N/A,N/A,19.98081841,N/A,N/A,N/A,18.47336141,N/A,N/A,,,,
BC carbon tax,Carbon tax,British Columbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.737098345,N/A,N/A,N/A,7.909515147,N/A,N/A,N/A,19.85111663,N/A,N/A,N/A,25.96323606,N/A,N/A,N/A,30.251084,N/A,N/A,N/A,29.50722927,N/A,N/A,N/A,27.20594903,N/A,N/A,N/A,23.78686965,N/A,N/A,N/A,23.0629406,N/A,N/A,N/A,23.97313676,N/A,N/A,N/A,27.12757243,N/A,N/A,N/A,29.99172663,N/A,N/A,N/A,28.13532884,N/A,N/A,N/A,35.8137684,N/A,N/A,N/A,39.96163683,N/A,N/A,N/A,48.03073967,N/A,N/A,,,,
Baja California,Carbon tax,Baja California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.31702544,N/A,N/A,N/A,8.567166586,N/A,N/A,N/A,9.42271984,N/A,N/A,,,,
Bosnia and Herzegovina ETS,ETS,Bosnia and Herzegovina,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Botswana carbon tax,Carbon tax,Botswana,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
